parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.8880088903978967	0.9004992176257491	-3961409.669562134	-1300.7790816359006	0.03414139747619629	24800	195_auto_price	GradientBoostingRegressor	594e1e2bf4d714ad0d600dc221ef0324f355ae90232049e3ba69177d5bf28bd0
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.821267983736455	0.8232736895118116	-0.17631949739759942	-0.3391460784150665	0.052385497093200686	24800	609_fri_c0_1000_5	GradientBoostingRegressor	5f5171eceaf7396b74d7e9c8a2061f88bb187df4439ec9f40777d77b4ff2f5fc
{'criterion': 'mae', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.15, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.1289401758377576	0.18699996522720969	-2434799622.665045	-23964.49723056375	3.9645887613296513	24800	218_house_8L	DecisionTreeRegressor	f1597f2cf428113cf670e89c2b2e4cffc0f95e334ea88c2ceb2400635699134f
{'C': 1, 'cache_size': 700, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-3.4018787309166627	-3.2600703005833607	-4.641527203667404	-1.347064932299595	0.09446308612823487	24800	602_fri_c3_250_10	SVR	4743cb848184ab5dda88f3c10d754f8b4260c5f74f5ad3228db7d2b39ddcb0d9
{'C': 0.001, 'cache_size': 700, 'coef0': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.034840550871203316	0.0014571990556355163	-1.0120253425968844	-0.8078658718563867	0.02133007049560547	24800	582_fri_c1_500_25	SVR	a70fa2f25821ca7d8edee7e447fbb771d12226723f8b0d543ebad86b5a8b13cd
{'criterion': 'mse', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.25, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.27912373172691296	0.2918228274831719	-0.6956365192233738	-0.6704527185530109	0.00420684814453125	24800	616_fri_c4_500_50	DecisionTreeRegressor	370d267f91f89287f0c445183777cacdf598db5fb7e64be38ce1bd5a777f1ed8
{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.3, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	-0.1339172753466506	-0.05640798913585926	-1.0609779088656726	-0.8239566018176342	0.000461268424987793	24800	603_fri_c0_250_50	DecisionTreeRegressor	648b620923c0d9edd7e6d59bfe154101846f012eda8344e6a412e437efefc447
{'C': 10, 'cache_size': 700, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	0.042989223747326236	0.05408699454788453	-0.9458076419207841	-0.7884064187941162	0.13032288551330568	24800	620_fri_c1_1000_25	SVR	57255fd431d9f19ea583b561b50f97ccc1a7d09e5b4903fe2f27dfedee140d91
{'C': 1, 'cache_size': 700, 'coef0': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	0.7595984239137088	0.7665415100162192	-0.2305591503266817	-0.36573778033600696	0.02801914215087891	24800	654_fri_c0_500_10	SVR	663879512b364bb3fed7f8fee5b9c6fbe3b1eb2d38b0c690a0571ed69047896e
{'criterion': 'mse', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.15, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.4765211464479965	0.48240419292917697	-0.5213114652596723	-0.575597123923411	0.006266856193542479	24800	598_fri_c0_1000_25	DecisionTreeRegressor	ec6d23bd5501ece4705f9b7bd220d4db9e4c0e375fd25a5eba90a9618d518f1f
